Designator,Mid X,Mid Y,Rotation,Layer
SW72,331.5,-142.92,0.0,bottom
SW73,355.3125,-142.92,0.0,bottom
SW74,62.41875,-161.97,0.0,bottom
SW75,86.23125,-161.97,0.0,bottom
SW76,110.04375,-161.97,0.0,bottom
SW77,181.48125,-161.97,0.0,bottom
SW78,250.5375,-161.97,0.0,bottom
SW79,269.5875,-161.97,0.0,bottom
SW8,193.3875,-66.72,0.0,bottom
SW80,288.6375,-161.97,0.0,bottom
SW81,312.45,-161.97,0.0,bottom
SW82,331.5,-161.97,0.0,bottom
SW83,350.55,-161.97,0.0,bottom
SW9,212.4375,-66.72,0.0,bottom
